a + b
b * b
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
a + c
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
22 * 2
4 ^ 4
40 + 2
